Driver,Team,Compound,LapNumber,TyreLife,TyreLifeSquared,Stint,Position,TrackStatus,IsPitLap,IsGreenFlag,RaceProgress,StintLength,StintProgress,DriverMedianPace,TeamMedianPace,PreviousLapTime,Rolling3LapAvg,Rolling5LapAvg,LapTimeSeconds
ALO,Aston Martin,HARD,29.0,14.0,196.0,2.0,6.0,1,0,1,0.3717948717948718,20.0,0.65,77.033,78.116,76.414,76.48366666666668,76.9768,76.279
ALO,Aston Martin,HARD,30.0,15.0,225.0,2.0,6.0,1,0,1,0.38461538461538464,20.0,0.7,77.033,78.116,76.279,76.479,76.683,77.307
ALO,Aston Martin,HARD,31.0,16.0,256.0,2.0,6.0,1,0,1,0.3974358974358974,20.0,0.75,77.033,78.116,77.307,76.66666666666667,76.60740000000001,76.142
ALO,Aston Martin,HARD,32.0,17.0,289.0,2.0,6.0,1,0,1,0.41025641025641024,20.0,0.8,77.033,78.116,76.142,76.57600000000001,76.57719999999999,76.088
ALO,Aston Martin,HARD,33.0,18.0,324.0,2.0,6.0,1,0,1,0.4230769230769231,20.0,0.85,77.033,78.116,76.088,76.51233333333333,76.446,75.823
ALO,Aston Martin,HARD,34.0,19.0,361.0,2.0,6.0,1,0,1,0.4358974358974359,20.0,0.9,77.033,78.116,75.823,76.01766666666667,76.3278,77.347
ALO,Aston Martin,HARD,35.0,20.0,400.0,2.0,6.0,1,0,1,0.44871794871794873,20.0,0.95,77.033,78.116,77.347,76.41933333333333,76.5414,76.024
ALO,Aston Martin,HARD,36.0,21.0,441.0,2.0,6.0,1,0,1,0.46153846153846156,20.0,1.0,77.033,78.116,76.024,76.398,76.28479999999999,76.2
ANT,Mercedes,HARD,2.0,2.0,4.0,1.0,14.0,6,0,0,0.02564102564102564,69.0,0.028985507246376812,78.9175,78.865,94.721,94.721,94.721,111.408
ANT,Mercedes,HARD,3.0,3.0,9.0,1.0,14.0,6,0,0,0.038461538461538464,69.0,0.043478260869565216,78.9175,78.865,111.408,103.06450000000001,103.06450000000001,108.871
ANT,Mercedes,HARD,4.0,4.0,16.0,1.0,14.0,671,0,0,0.05128205128205128,69.0,0.057971014492753624,78.9175,78.865,108.871,105.0,105.0,96.575
ANT,Mercedes,HARD,5.0,5.0,25.0,1.0,14.0,1,0,1,0.0641025641025641,69.0,0.07246376811594203,78.9175,78.865,96.575,105.618,102.89375,80.377
ANT,Mercedes,HARD,6.0,6.0,36.0,1.0,14.0,1,0,1,0.07692307692307693,69.0,0.08695652173913043,78.9175,78.865,80.377,95.27433333333333,98.3904,80.757
ANT,Mercedes,HARD,7.0,7.0,49.0,1.0,14.0,1,0,1,0.08974358974358974,69.0,0.10144927536231885,78.9175,78.865,80.757,85.903,95.5976,81.194
ANT,Mercedes,HARD,8.0,8.0,64.0,1.0,14.0,12,0,0,0.10256410256410256,69.0,0.11594202898550725,78.9175,78.865,81.194,80.77600000000001,89.5548,80.877
ANT,Mercedes,HARD,9.0,9.0,81.0,1.0,14.0,2,0,0,0.11538461538461539,69.0,0.13043478260869565,78.9175,78.865,80.877,80.94266666666667,83.95599999999999,83.326
ANT,Mercedes,HARD,10.0,10.0,100.0,1.0,14.0,2,0,0,0.1282051282051282,69.0,0.14492753623188406,78.9175,78.865,83.326,81.79899999999999,81.3062,81.523
ANT,Mercedes,HARD,11.0,11.0,121.0,1.0,14.0,21,0,0,0.14102564102564102,69.0,0.15942028985507245,78.9175,78.865,81.523,81.90866666666666,81.53540000000001,79.894
ANT,Mercedes,HARD,12.0,12.0,144.0,1.0,13.0,1,0,1,0.15384615384615385,69.0,0.17391304347826086,78.9175,78.865,79.894,81.581,81.3628,79.788
ANT,Mercedes,HARD,13.0,13.0,169.0,1.0,13.0,1,0,1,0.16666666666666666,69.0,0.18840579710144928,78.9175,78.865,79.788,80.40166666666666,81.0816,78.868
ANT,Mercedes,HARD,14.0,14.0,196.0,1.0,13.0,1,0,1,0.1794871794871795,69.0,0.2028985507246377,78.9175,78.865,78.868,79.51666666666667,80.67979999999999,79.075
ANT,Mercedes,HARD,15.0,15.0,225.0,1.0,13.0,1,0,1,0.19230769230769232,69.0,0.21739130434782608,78.9175,78.865,79.075,79.24366666666667,79.8296,79.858
ANT,Mercedes,HARD,16.0,16.0,256.0,1.0,13.0,1,0,1,0.20512820512820512,69.0,0.2318840579710145,78.9175,78.865,79.858,79.267,79.49659999999999,80.745
ANT,Mercedes,HARD,17.0,17.0,289.0,1.0,13.0,1,0,1,0.21794871794871795,69.0,0.2463768115942029,78.9175,78.865,80.745,79.89266666666667,79.6668,81.182
ANT,Mercedes,HARD,18.0,18.0,324.0,1.0,13.0,1,0,1,0.23076923076923078,69.0,0.2608695652173913,78.9175,78.865,81.182,80.59500000000001,79.9456,80.136
ANT,Mercedes,HARD,19.0,19.0,361.0,1.0,13.0,1,0,1,0.24358974358974358,69.0,0.2753623188405797,78.9175,78.865,80.136,80.68766666666666,80.1992,79.624
ANT,Mercedes,HARD,20.0,20.0,400.0,1.0,13.0,1,0,1,0.2564102564102564,69.0,0.2898550724637681,78.9175,78.865,79.624,80.31400000000001,80.309,78.842
ANT,Mercedes,HARD,21.0,21.0,441.0,1.0,13.0,1,0,1,0.2692307692307692,69.0,0.30434782608695654,78.9175,78.865,78.842,79.53399999999999,80.1058,77.914
ANT,Mercedes,HARD,22.0,22.0,484.0,1.0,13.0,1,0,1,0.28205128205128205,69.0,0.3188405797101449,78.9175,78.865,77.914,78.79333333333334,79.53960000000001,77.273
ANT,Mercedes,HARD,23.0,23.0,529.0,1.0,13.0,1,0,1,0.2948717948717949,69.0,0.3333333333333333,78.9175,78.865,77.273,78.00966666666666,78.7578,76.973
ANT,Mercedes,HARD,24.0,24.0,576.0,1.0,13.0,1,0,1,0.3076923076923077,69.0,0.34782608695652173,78.9175,78.865,76.973,77.38666666666667,78.12519999999999,76.939
ANT,Mercedes,HARD,25.0,25.0,625.0,1.0,13.0,1,0,1,0.32051282051282054,69.0,0.36231884057971014,78.9175,78.865,76.939,77.06166666666665,77.5882,78.777
ANT,Mercedes,HARD,26.0,26.0,676.0,1.0,13.0,1,0,1,0.3333333333333333,69.0,0.37681159420289856,78.9175,78.865,78.777,77.56299999999999,77.57520000000001,79.479
ANT,Mercedes,HARD,27.0,27.0,729.0,1.0,13.0,1,0,1,0.34615384615384615,69.0,0.391304347826087,78.9175,78.865,79.479,78.39833333333333,77.8882,79.446
ANT,Mercedes,HARD,28.0,28.0,784.0,1.0,13.0,1,0,1,0.358974358974359,69.0,0.4057971014492754,78.9175,78.865,79.446,79.234,78.3228,79.91
ANT,Mercedes,HARD,29.0,29.0,841.0,1.0,13.0,1,0,1,0.3717948717948718,69.0,0.42028985507246375,78.9175,78.865,79.91,79.61166666666666,78.9102,79.074
ANT,Mercedes,HARD,30.0,30.0,900.0,1.0,13.0,1,0,1,0.38461538461538464,69.0,0.43478260869565216,78.9175,78.865,79.074,79.47666666666667,79.3372,80.406
ANT,Mercedes,HARD,31.0,31.0,961.0,1.0,13.0,1,0,1,0.3974358974358974,69.0,0.4492753623188406,78.9175,78.865,80.406,79.79666666666667,79.663,79.809
ANT,Mercedes,HARD,32.0,32.0,1024.0,1.0,13.0,1,0,1,0.41025641025641024,69.0,0.463768115942029,78.9175,78.865,79.809,79.76299999999999,79.729,79.689
ANT,Mercedes,HARD,33.0,33.0,1089.0,1.0,13.0,1,0,1,0.4230769230769231,69.0,0.4782608695652174,78.9175,78.865,79.689,79.968,79.77759999999999,79.344
ANT,Mercedes,HARD,34.0,34.0,1156.0,1.0,13.0,1,0,1,0.4358974358974359,69.0,0.4927536231884058,78.9175,78.865,79.344,79.61399999999999,79.6644,78.763
ANT,Mercedes,HARD,35.0,35.0,1225.0,1.0,13.0,1,0,1,0.44871794871794873,69.0,0.5072463768115942,78.9175,78.865,78.763,79.26533333333333,79.6022,79.458
ANT,Mercedes,HARD,36.0,36.0,1296.0,1.0,13.0,1,0,1,0.46153846153846156,69.0,0.5217391304347826,78.9175,78.865,79.458,79.18833333333333,79.4126,79.869
ANT,Mercedes,HARD,37.0,37.0,1369.0,1.0,12.0,12,0,0,0.47435897435897434,69.0,0.5362318840579711,78.9175,78.865,79.869,79.36333333333333,79.4246,78.87
